epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6349,1.23675,2.33665,1.18779,0.88449,0.67778,0.769,0.62549,0.87018,1.39699,1.025,0.00041336,0.00041336,0.00041336
2,45.4809,1.10606,1.49351,1.14762,0.88698,0.75012,0.80015,0.63683,0.74122,0.97262,0.97724,0.000821809,0.000821809,0.000821809
3,65.6216,1.06246,1.3866,1.13127,0.9169,0.73636,0.81646,0.64986,0.78959,1.02051,1.01945,0.00122201,0.00122201,0.00122201
4,86.1052,1.03688,1.27935,1.10551,0.85786,0.75072,0.85335,0.69438,0.71606,0.90072,0.96231,0.00121287,0.00121287,0.00121287
5,109.471,0.96172,1.15639,1.07132,0.85365,0.75575,0.84225,0.7023,0.65069,0.79598,0.94859,0.0012005,0.0012005,0.0012005
6,132.448,0.9389,1.10673,1.06713,0.90638,0.74778,0.86055,0.70847,0.67888,0.76365,0.95308,0.00118812,0.00118812,0.00118812
7,154.731,0.93681,1.08206,1.06155,0.85713,0.79886,0.87545,0.71956,0.64995,0.68638,0.93382,0.00117575,0.00117575,0.00117575
8,178.215,0.88131,1.00032,1.03856,0.82266,0.79166,0.86262,0.70019,0.6456,0.73002,0.93826,0.00116337,0.00116337,0.00116337
9,201.268,0.8837,0.9822,1.03734,0.83322,0.76313,0.83444,0.69371,0.64154,0.87541,0.9376,0.001151,0.001151,0.001151
10,223.563,0.86731,0.94376,1.02626,0.83718,0.83229,0.88866,0.74132,0.58545,0.634,0.90801,0.00113863,0.00113863,0.00113863
11,246.438,0.85191,0.92358,1.02259,0.85142,0.83274,0.89513,0.74954,0.6143,0.62335,0.92879,0.00112625,0.00112625,0.00112625
12,268.511,0.87195,0.93114,1.03139,0.93278,0.78531,0.91083,0.76123,0.62474,0.58976,0.93328,0.00111388,0.00111388,0.00111388
13,289.843,0.84521,0.89875,1.01432,0.85449,0.84746,0.89726,0.75937,0.59188,0.57875,0.94033,0.0011015,0.0011015,0.0011015
14,310.279,0.80226,0.83708,1.00619,0.81722,0.8721,0.9012,0.75798,0.57269,0.59035,0.9125,0.00108913,0.00108913,0.00108913
15,330.449,0.80444,0.83078,1.00174,0.90947,0.8338,0.91218,0.77746,0.56891,0.60666,0.91415,0.00107675,0.00107675,0.00107675
16,350.929,0.78886,0.8196,0.99359,0.87879,0.82695,0.90249,0.76792,0.56204,0.60056,0.89865,0.00106437,0.00106437,0.00106437
17,370.853,0.79269,0.79785,0.98616,0.86593,0.84907,0.91594,0.78271,0.56833,0.54455,0.89978,0.001052,0.001052,0.001052
18,390.896,0.77572,0.79808,0.98746,0.82628,0.88809,0.91522,0.78579,0.54987,0.53146,0.89504,0.00103962,0.00103962,0.00103962
19,411.112,0.77355,0.78627,0.98928,0.8472,0.8788,0.92044,0.80484,0.54327,0.54037,0.90267,0.00102725,0.00102725,0.00102725
20,431.404,0.76603,0.77522,0.98706,0.81297,0.90475,0.91099,0.77802,0.54048,0.52131,0.89025,0.00101488,0.00101488,0.00101488
21,451.193,0.76186,0.76955,0.98893,0.8946,0.80192,0.9028,0.7756,0.53534,0.52905,0.89493,0.0010025,0.0010025,0.0010025
22,471.689,0.78178,0.77458,0.99002,0.85141,0.8788,0.92387,0.80191,0.52363,0.49895,0.8776,0.000990125,0.000990125,0.000990125
23,492.053,0.75713,0.76978,0.98192,0.86322,0.86437,0.91753,0.79478,0.53522,0.51356,0.89773,0.00097775,0.00097775,0.00097775
24,512.107,0.76094,0.75256,0.98188,0.85429,0.83833,0.91347,0.78795,0.55274,0.55073,0.9041,0.000965375,0.000965375,0.000965375
25,537.949,0.72716,0.71136,0.97321,0.85726,0.86349,0.91879,0.79209,0.50912,0.48947,0.87585,0.000953,0.000953,0.000953
26,565.097,0.72804,0.72061,0.96901,0.82045,0.84979,0.90968,0.78404,0.50998,0.51566,0.88841,0.000940625,0.000940625,0.000940625
27,591.204,0.74481,0.73876,0.97575,0.80542,0.89655,0.93066,0.79727,0.53463,0.49595,0.89159,0.00092825,0.00092825,0.00092825
28,617.081,0.72389,0.71254,0.96638,0.91459,0.84689,0.93345,0.82449,0.48945,0.48001,0.87292,0.000915875,0.000915875,0.000915875
29,639.704,0.73394,0.72683,0.9724,0.87456,0.88822,0.93094,0.8144,0.49028,0.4832,0.87931,0.0009035,0.0009035,0.0009035
30,663.316,0.70505,0.68608,0.96076,0.84145,0.87443,0.9155,0.79877,0.49495,0.48037,0.87254,0.000891125,0.000891125,0.000891125
31,686.924,0.70879,0.69848,0.96827,0.83225,0.89019,0.93059,0.81091,0.50159,0.47827,0.88218,0.00087875,0.00087875,0.00087875
32,710.082,0.69863,0.69249,0.95915,0.84837,0.89275,0.91835,0.79828,0.49322,0.47818,0.87701,0.000866375,0.000866375,0.000866375
33,732.628,0.69752,0.69622,0.96571,0.84126,0.90082,0.92983,0.81659,0.47509,0.46674,0.87032,0.000854,0.000854,0.000854
34,754.298,0.70998,0.69607,0.9639,0.87965,0.86155,0.92759,0.81778,0.49689,0.44772,0.88165,0.000841625,0.000841625,0.000841625
35,775.57,0.67939,0.64905,0.95516,0.89208,0.86635,0.93687,0.82657,0.50206,0.46556,0.88116,0.00082925,0.00082925,0.00082925
36,797.095,0.6975,0.67588,0.95378,0.89225,0.88174,0.94016,0.83064,0.46245,0.43238,0.86974,0.000816875,0.000816875,0.000816875
37,818.299,0.68099,0.65707,0.95366,0.87992,0.82955,0.92226,0.81666,0.46946,0.45637,0.87065,0.0008045,0.0008045,0.0008045
38,839.707,0.69317,0.67651,0.96554,0.85627,0.9079,0.92667,0.81039,0.48332,0.45931,0.88019,0.000792125,0.000792125,0.000792125
39,860.814,0.66614,0.65014,0.9417,0.88287,0.82658,0.92918,0.8187,0.47408,0.47023,0.87445,0.00077975,0.00077975,0.00077975
40,882.559,0.67002,0.64154,0.9501,0.87101,0.87959,0.93695,0.82278,0.47499,0.453,0.88333,0.000767375,0.000767375,0.000767375
